Genus	Bacillus	Bsal	Control
g_Unidentified	0.149281464637155	0.655754240740333	0.337816340704439
g__Rhodotorula	0.31252167631983	0.0262809594052555	0.18470406774178
g__Penicillium	0.0990623639559986	0.267298466597576	0.00982322668857784
g__Cladosporium	0.116895881341153	0.00344394263144385	0.0141336043261808
g__Trichoderma	0.106850072633433	0.000144714955128138	0.000544490500155123
g__Athelia	0	0	0.0700890003418039
g__unidentified	0.0214849595349732	2.47555390518629e-05	0.0475159790068934
g__Wallemia	0.0370689907156165	0.000240785532563115	0.00693912626838408
g__Debaryomyces	0.0334934357989113	0	0.00867804510996791
g__Phialophora	1.65737157442013e-05	0	0.0382935705620704
g__Aspergillus	0.0107360789166152	0.0086811053381144	0.0178377556582602
g__Alternaria	0.0306938634920577	0	0
g__Basidiobolus	0	0.00859549503045428	0.0107612534684349
g__Candida	0.00536988390112121	0.0133238693976881	0
g__Piptoporus	0	0	0.0184593610998787
Others	0.0765247550373908	0.016211664832392	0.234404178523174
