Chytrid	Treatment	Conc	0	1	3	5	7	slope	s-neg	Growth	Keep
Bd_JEL423	Bti	80	0.027	0.25	0.137	0.399	0.689	0.081481707	0.084412602	0.647364155	Y
Bd_JEL423	Bti	80	0.026	0.161	0.408	0.254	0.406	0.045152439	0.048083333	0.368753312	Y
Bd_JEL423	Bti	70	0.044	0.084	0.121	0.414	0.439	0.062914634	0.065845528	0.50497241	Y
Bd_JEL423	Bti	70	0.049	0.089	0.292	0.253	0.362	0.043292683	0.046223577	0.354490757	Y
Bd_JEL423	Bti	70	0.056	0.165	0.172	0.134	0.51	0.048859756	0.05179065	0.397184899	Y
Bd_JEL423	Bti	60	0.074	0.097				0.023	0.025930894	0.198865231	Y
Bd_JEL423	Bti	60	0.061	0.215	0.33	0.485	0.389	0.04929878	0.052229675	0.400551797	Y
Bd_JEL423	Bti	60	0.045	0.205	0.435	0.904	0.221	0.054420732	0.057351626	0.439832279	Y
Bd_JEL423	Bti	50	0.046	0.097	0.16	0.443	0.226	0.03852439	0.041455285	0.317922499	Y
Bd_JEL423	Bti	50	0.264	0.212	0.203	0.158	0.43	0.01727439	0.020205285	0.154955264	Y
Bd_JEL423	Bti	50	0.114	0.058	0.167	0.358	0.403	0.050304878	0.053235772	0.408267606	Y
Bd_JEL423	Bti	40	0.063	0.057	2.411	2.512	1.614	0.300170732	0.303101626	2.32450042	N
Bd_JEL423	Bti	40	0.054	0.148	1.77	2.7	1.755	0.325506098	0.328436992	2.518798515	N
Bd_JEL423	Bti	40	0.045	0.092	0.161	0.175	0.261	0.02829878	0.031229675	0.239501824	Y
Bd_JEL423	Bti	30	0.025	0.088	0.216	0.731	0.475	0.085487805	0.088418699	0.678087103	Y
Bd_JEL423	Bti	30	0.059	0.284	0.497	0.226	0.35	0.025115854	0.028046748	0.21509181	Y
Bd_JEL423	Bti	30	0.049	0.13	0.603	0.448	0.878	0.109128049	0.112058943	0.859385229	Y
Bsal	POS	POS	0.035	0.091	0.187	0.415		0.073830508	0.054028652	1.121363899	Y
Bsal	POS	POS	0.021	0.096	0.175	0.412		0.074372881	0.054571025	1.13262084	Y
Bsal	POS	POS	0.083	0.171	0.059	0.485		0.066271186	0.04646933	0.964470279	Y
Bsal	POS	POS	0.024	0.071	0.125	0.326		0.057457627	0.037655771	0.781544982	Y
Bsal	NEG	NEG	0.015	0.03	0.062			0.015714286	-0.004087571	-0.08483747	Y
Bsal	NEG	NEG	0.088	0.297	0.194			0.022928571	0.003126715	0.064894927	Y
Bsal	NEG	NEG	0.032	0.04	0.043	0.144		0.020762712	0.000960856	0.019942543	Y
Bsal	Bti	100	0.019	0.016	0.037	0.2		0.034915254	0.015113398	0.313678356	Y
Bsal	Bti	100	0.019	0.021	0.056	0.258		0.046271186	0.02646933	0.549370566	Y
Bsal	Bti	100	0.082		0.021	0.228		0.025289474	0.005487617	0.113895419	Y
Bsal	Bti	100	0.019	0.148	0.091	0.26		0.037661017	0.017859161	0.370666622	Y
Bsal	Bti	100	0.051		0.051	0.241		0.035	0.015198144	0.315437253	Y
Bsal	Bti	90	0.019	0.024	0.059	0.277		0.049711864	0.029910008	0.620781788	Y
Bsal	Bti	90	0.039	0.048	0.082	0.182		0.028084746	0.008282889	0.171911251	Y
Bsal	Bti	90	0.017	0.049	0.09	0.224		0.03959322	0.019791364	0.410769476	Y
Bsal	Bti	90	0.044	0.067	0.089	0.2		0.029423729	0.009621872	0.199701825	Y
Bsal	Bti	80	0.015	0.025	0.137			0.042857143	0.023055287	0.478512141	Y
Bsal	Bti	80	0.017	0.024	0.123	0.154		0.030338983	0.010537127	0.218697914	Y
Bsal	Bti	80	0.021	0.035	0.052	0.238		0.040847458	0.021045601	0.436801152	Y
Bsal	Bti	80	0.021	0.045	0.067	0.247		0.042440678	0.022638822	0.469868418	Y
Bsal	Bti	80	0.02	0.023	0.042	0.223		0.038711864	0.018910008	0.392476946	Y
Bsal	Bti	70	0.021	0.05	0.094	0.27		0.047677966	0.02787611	0.578568258	Y
Bsal	Bti	70	0.027	0.038	0.063	0.272		0.046576271	0.026774415	0.555702596	Y
Bsal	Bti	70	0.025	0.033	0.068	0.312		0.055016949	0.035215093	0.730888746	Y
Bsal	Bti	70	0.033	0.049	0.145	0.355		0.064372881	0.044571025	0.925070984	Y
Bsal	Bti	70	0.042	0.13	0.178	0.283		0.044389831	0.024587974	0.510323051	Y
Bsal	Bti	60	0.013	0.014	0.435	0.194		0.055118644	0.035316788	0.732999422	Y
Bsal	Bti	60	0.024	0.017	0.047	0.34		0.060677966	0.04087611	0.848383071	Y
Bsal	Bti	60	0.028	0.058	0.108	0.305		0.053169492	0.033367635	0.692544789	Y
Bsal	Bti	60	0.034	0.057	0.087	0.271		0.044932203	0.025130347	0.521579992	Y
Bsal	Bti	50	0.019	0.095	0.149	0.264		0.045847458	0.026045601	0.540576081	Y
Bsal	Bti	50	0.026	0.067	0.134	0.313		0.055525424	0.035723567	0.741442128	Y
Bsal	Bti	50	0.019	0.037	0.067	0.25		0.043983051	0.024181195	0.501880345	Y
Bsal	Bti	50	0.042	0.063	0.103	0.249		0.039915254	0.020113398	0.417453285	Y
Bsal	Bti	50	0.027	0.124	0.125	0.398		0.065932203	0.046130347	0.95743469	Y
Bsal	Bti	40	0.017	0.044	0.093	0.376		0.068508475	0.048706618	1.010905162	Y
